ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CYM,,,,,,,,,,,,,,,,,0.965154711,0.968571334,0.979223943,0.979161636,0.96540813,0.941537917,0.96690504,0.983444533,0.994393606,0.994372223,0.987132743,0.98079437,0.973204851,1.011659026,1.03776145,0.971421659,0.940041538,
CYP,0.564507432,0.567271465,0.588139657,0.602116666,0.620603023,0.690513506,0.696906046,0.70220755,0.711248305,0.72074849,0.717009543,0.711622172,0.696985729,0.736493264,0.733626887,0.722897782,0.709841356,0.694088674,0.693834086,0.682113815,0.70029064,0.698661839,0.706888914,0.687352067,0.679758791,0.663187331,0.622352108,0.61524255,0.612482709,0.58811905,0.578571292,0.571244435,0.565932818,0.562049097
CZE,5.564727,7.330823,8.053187,9.519423,10.470713,11.160326,12.076265,12.905536,13.987233,14.22935,14.330601,14.322067,14.458321,14.175232,14.425719,14.562493,14.414642,14.255541,13.916713,13.638835,13.67437,13.345305,13.297699,12.785271,12.70321,12.93798,12.576343,12.424986,12.371528,12.097428,12.150267,12.009202,12.299963,12.55055
DEU,0.947328,0.94461,0.972569,0.986946,0.986136,0.98502,0.974479,0.973062,0.968715,0.954119,0.943092,0.929693,0.913257,0.895887,0.875038,0.872721,0.84758,0.837113,0.820401,0.81113,0.80518,0.788739,0.787246,0.774784,0.768937,0.778122,0.752608,0.744783,0.735448,0.717745,0.706836,0.70199,0.694484,0.703527
DJI,,,,,,,,,,,,,,,,,,,,,,93.57182312,97.23897044,98.06256479,98.93170785,99.03637048,100.6768585,99.52359772,95.03245544,93.40950012,91.47750854,90.22789001,88.18648183,88.96886562
DMA,1.75573627,1.828235407,1.865916323,1.871555533,1.972418476,1.947057209,1.974479544,1.969052879,1.996629612,2.018705264,1.985818606,1.982568627,1.967665177,1.869380867,1.889458711,1.805484886,1.792931099,1.77225909,1.764985315,1.89456789,1.877378651,1.870429516,1.861289932,1.871299295,1.817031361,1.849294052,1.835991596,1.74907136,1.651061893,1.599572659,1.483801842,1.430598259,1.384115092,1.373714974
DNK,9.128273,9.064496,9.009282,8.851713,8.80232,8.732097,8.710538,8.701121,8.661746,8.752578,8.670198,8.691834,8.561606,8.647378,8.459586,8.569438,8.28716,8.160592,7.944128,7.731361,7.59215,7.466492,7.564136,7.354846,7.328674,7.305357,7.079856,6.871679,6.765997,6.538391,6.365057,6.232205,6.153561,6.106244
DOM,3.012816567,4.611771279,4.760092506,4.881614126,5.264011376,5.653576193,5.755674708,6.192869863,6.522394596,6.677973399,7.000725779,7.260145379,7.643811575,10.00403751,14.14219607,14.50499453,15.00555975,15.44262467,16.72512929,17.20408733,17.92276395,18.97597885,20.07920289,20.66036472,21.01171218,20.69375237,20.2578266,20.91620255,21.688797,21.234972,21.22900391,22.1248188,22.88403545,23.49760109
DZA,3.126816657,4.651386573,5.544894843,6.154473841,7.777974843,9.795312445,11.92992418,12.5488546,12.02084073,13.13992086,15.76273657,15.34264664,15.31528043,16.36180998,17.7571596,19.34565329,20.79020766,21.67806531,24.48360174,22.53922501,25.73290522,29.4758873,32.39485693,33.02465504,33.4217802,34.16624139,36.03880866,37.45825195,38.87734985,38.38938522,37.43886566,38.76309967,44.50111666,41.96649166
EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,0.300494876,0.310689982,0.316839377,0.317679511,0.357721082,0.368673325,0.367440164,0.38651835,0.367764423,0.267260409,0.241180552,0.298606584,0.327812034,0.357621399,0.370512225,0.390082401,0.411397443,0.428837853,0.484237289,0.467941973,0.503995944,0.527572334,0.549960872,0.540855147,0.541231104,0.54939296,0.543826095,0.528539717,0.517270744,0.49470225,0.473994911,0.448739469,0.428426846,0.411672575
EGY,0.460036472,0.516743317,0.597943489,0.633332733,0.672483348,0.733760049,0.77178373,0.833631688,0.843967731,0.839842868,0.85363323,0.850427546,0.863923182,0.904615562,0.983730007,1.013081773,1.055106601,1.156667959,1.273294841,1.407041414,1.530647431,1.67461729,1.738121821,1.856522731,2.129368703,2.250485684,2.499198869,3.169147015,3.581174374,3.893379688,3.695092678,3.85461998,3.976507603,4.788176906
EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,,,1.062491614,1.023534451,1.224110151,1.334455229,1.429386143,1.459915999,1.57519915,1.58923192,1.942189447,2.185801123,2.499930095,2.987748295,3.631046508,3.789061901,4.094519468,4.277059964,4.870803298,6.269242327,5.188798387,6.077217994,6.375450496,6.061408941,6.028778011,5.771684116,5.740963008,5.392687798,4.960841396,4.690914663,5.014288098,4.938478947,,
ESP,0.618359,0.639613,0.667328,0.681454,0.693093,0.712347,0.722514,0.723814,0.723829,0.73921,0.739777,0.747518,0.742312,0.759222,0.765873,0.769508,0.736002,0.732244,0.725862,0.718702,0.72705,0.714129,0.694976,0.6748,0.662359,0.66474,0.642644,0.630839,0.631798,0.604131,0.606275,0.590962,0.57881,0.572592
EST,0.004518953,0.010165954,0.096774731,0.174704,0.238906,0.307611,0.377338,0.40957,0.435423,0.462332,0.46886,0.487869,0.486245,0.485746,0.493635,0.503328,0.520794,0.551057,0.545055,0.517135,0.512185,0.5116,0.521063,0.522424,0.52689,0.53758,0.527849,0.534908,0.538757,0.52869,0.515202,0.524476,0.556882,0.562992
ETH,1.30103355,1.498645215,1.692840799,1.874849784,1.889459455,2.085808244,2.053206822,2.022571692,1.997090252,2.012994195,2.102257563,1.937636036,1.838889575,2.03353031,2.057734761,2.192210828,2.372304688,2.707476758,3.461465863,4.27094343,4.28061851,5.035502911,6.616768794,7.029231055,7.066470211,7.654185969,7.910324952,8.336392403,9.31989193,10.36759758,11.79116535,13.73111248,17.27498924,22.17117221
EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,1.00593,0.987734,0.974299,0.968547,0.965796,0.985701,0.992005,0.989353,0.991532,0.992037,0.983998,1.002642,0.998133,1.001946,0.973183,0.979424,0.95287,0.934604,0.912125,0.896528,0.900632,0.898068,0.908495,0.905357,0.90721,0.907748,0.880895,0.863657,0.853746,0.826328,0.802112,0.782813,0.769643,0.764142
FJI,0.647576258,0.663933381,0.690079573,0.722888214,0.713636449,0.706882378,0.714085664,0.725075925,0.770420749,0.810810332,0.755429162,0.762770603,0.775632812,0.819204422,0.815254919,0.842998296,0.848419536,0.851023196,0.852955315,0.859515994,0.885114988,0.948667109,0.929814844,0.934859348,0.932632883,0.911280754,0.937498468,0.939452171,0.960431039,0.97249794,0.935144365,0.910048425,0.871207956,0.877554299
FRA,1.025598,1.017318,1.014216,1.006817,0.994883,0.98541,0.981549,0.969392,0.961582,0.952721,0.930251,0.911679,0.900678,0.929842,0.9351,0.916458,0.894693,0.88857,0.881874,0.862991,0.85478,0.841361,0.844301,0.811643,0.807565,0.808694,0.780044,0.770109,0.756166,0.705954,0.693052,0.685873,0.674142,0.672356
FRO,,,,,,,,,,,,,,,,,,,6.367860112,6.412919619,6.7896145,6.580026997,6.308513735,6.29718075,6.354714939,6.602248259,7.048762566,6.950629711,6.699643431,6.760001998,6.605008779,6.377927303,6.190119652,
FSM,0.864057527,0.878429481,0.884885617,0.890434148,0.894617423,0.895941246,0.896282972,0.88682673,0.903203117,0.883612621,0.873362605,0.863601237,0.851187198,0.831668064,0.817934109,0.809698418,0.796352183,0.799959104,0.824118513,0.862981906,0.883339899,0.87929396,0.924702201,0.915019505,0.926551735,0.869832031,0.880549626,0.947756064,1.011698793,0.960855602,0.913286808,0.890568631,0.924514915,0.946808219
